SIGMA-LI,DateOf,cecha1,cecha2
PPR-20K,1/4/2010,977,175.86
PPR-20K,1/13/2011,200,42
PPR-20K,1/20/2010,20,3.6
PPR-20K,1/8/2010,200,36
PPR-20K,1/7/2010,20,3.6
PPR-20K,1/21/2010,40,7.2
PPR-20K,1/22/2010,0,0
PPR-20K,1/9/2010,20,3.6
PPR-20K,1/18/2010,10,1.8
PPR-20K,2/16/2010,6,1.08
PPR-20K,1/15/2010,100,18
PPR-20K,1/19/2010,100,18
PPR-20K,1/19/2010,20,3.6
PPR-20K,2/2/2010,4,0.72
PPR-20K,1/12/2010,50,9
PPR-20K,1/13/2010,400,72
PPR-20K,1/19/2010,3,0.54
PPR-20K,1/20/2010,30,5.4
PPR-20K,1/13/2010,0,0
PPR-20K,1/25/2010,20,3.6
PPR-20K,1/25/2010,100,18
PPR-20K,2/3/2010,30,5.4
PPR-20K,2/10/2010,30,5.4
PPR-20K,2/15/2010,10,1.8
PPR-20K,3/1/2010,0,0
PPR-20K,2/16/2010,1,0.18
PPR-20K,3/4/2010,50,9
PPR-20K,2/19/2010,6,1.08
PPR-20K,2/19/2010,6,1.08
PPR-20K,3/4/2010,20,3.6
PPR-20K,3/3/2010,50,9
PPR-20K,3/15/2010,0,0
PPR-20K,3/15/2010,9,1.8
PPR-20K,3/8/2010,30,5.4
PPR-20K,3/3/2010,0,0
PPR-20K,3/1/2010,60,10.8
PPR-20K,3/8/2010,5,0.9
PPR-20K,3/1/2010,0,0
PPR-20K,3/8/2010,40,7.2
PPR-20K,3/1/2010,0,0
PPR-20K,3/1/2010,0,0
PPR-20K,3/9/2010,1000,200
PPR-20K,3/19/2010,4,0.8
PPR-20K,3/2/2010,61,10.98
PPR-20K,3/2/2010,139,25.02
PPR-20K,3/10/2010,40,7.2
PPR-20K,3/15/2010,6,1.08
PPR-20K,3/15/2010,14,2.8
PPR-20K,1/4/2011,10,2.1
PPR-20K,1/4/2011,10,2.1
PPR-20K,4/1/2010,20,4
PPR-20K,3/31/2010,100,20
PPR-20K,3/11/2010,23,4.14
PPR-20K,3/11/2010,3,0.54
PPR-20K,3/11/2010,14,2.8
PPR-20K,4/7/2010,6,1.2
PPR-20K,3/16/2010,10,2
PPR-20K,3/16/2010,10,2
PPR-20K,3/22/2010,20,4
PPR-20K,4/6/2010,4,0.72
PPR-20K,3/17/2010,20,4
PPR-20K,1/4/2011,40,8.4
PPR-20K,3/26/2010,0,0
PPR-20K,4/12/2010,600,120
PPR-20K,3/18/2010,2,0.36
PPR-20K,3/18/2010,58,11.6
PPR-20K,4/20/2010,40,8
PPR-20K,4/20/2010,20,4
PPR-20K,3/26/2010,5,1
PPR-20K,4/8/2010,20,4
PPR-20K,4/20/2010,20,4
PPR-20K,4/1/2010,10,2
PPR-20K,4/1/2010,20,3.6
PPR-20K,4/9/2010,100,20
PPR-20K,4/1/2010,6,1.2
PPR-20K,4/9/2010,50,10
PPR-20K,4/9/2010,10,2
PPR-20K,4/1/2010,8,1.44
PPR-20K,4/1/2010,10,2
PPR-20K,4/2/2010,20,4
PPR-20K,4/16/2010,6,1.2
PPR-20K,4/1/2010,15,3
PPR-20K,4/14/2010,10,2
PPR-20K,3/29/2010,20,4
PPR-20K,4/14/2010,200,40
PPR-20K,3/30/2010,0,0
PPR-20K,5/4/2010,4,0.8
PPR-20K,4/30/2010,4,0.8
PPR-20K,4/30/2010,1000,190
PPR-20K,3/30/2010,20,4
PPR-20K,4/19/2010,0,0
PPR-20K,5/7/2010,40,8
PPR-20K,4/19/2010,20,4
PPR-20K,5/10/2010,40,8
PPR-20K,5/17/2010,100,20
PPR-20K,5/5/2010,40,8
PPR-20K,5/18/2010,20,3.8
PPR-20K,5/18/2010,3,0.6
PPR-20K,5/18/2010,47,8.93
PPR-20K,5/18/2010,200,38
PPR-20K,5/6/2010,40,8
PPR-20K,5/17/2010,55,11
PPR-20K,4/23/2010,30,6
PPR-20K,4/23/2010,79,15.8
PPR-20K,4/23/2010,4,0.72
PPR-20K,4/23/2010,117,23.4
PPR-20K,5/20/2010,40,7.6
PPR-20K,4/26/2010,50,10
PPR-20K,5/19/2010,60,11.4
PPR-20K,5/19/2010,50,9.5
PPR-20K,5/21/2010,50,9.5
PPR-20K,5/14/2010,4,0.8
PPR-20K,5/14/2010,20,4
PPR-20K,4/28/2010,30,6
PPR-20K,6/9/2010,30,5.4
PPR-20K,4/28/2010,50,10
PPR-20K,4/29/2010,0,0
PPR-20K,5/15/2010,7,1.4
PPR-20K,6/9/2010,20,3.8
PPR-20K,6/1/2010,2,0.38
PPR-20K,6/9/2010,30,5.7
PPR-20K,5/29/2010,6,1.14
PPR-20K,5/29/2010,600,126
PPR-20K,5/27/2010,10,1.9
PPR-20K,5/27/2010,8,1.44
PPR-20K,5/27/2010,8,1.44
PPR-20K,6/14/2010,30,5.7
PPR-20K,6/11/2010,20,3.8
PPR-20K,6/14/2010,40,7.6
PPR-20K,6/22/2010,1000,210
PPR-20K,6/15/2010,200,38
PPR-20K,6/22/2010,19,3.99
PPR-20K,6/1/2010,100,19
PPR-20K,1/5/2011,50,10.5
PPR-20K,6/17/2010,75,14.25
PPR-20K,6/17/2010,425,89.25
PPR-20K,6/23/2010,30,6.3
PPR-20K,6/17/2010,20,4.2
PPR-20K,7/2/2010,15,3.15
PPR-20K,6/18/2010,0,0
PPR-20K,7/8/2010,20,4.2
PPR-20K,7/9/2010,20,4.2
PPR-20K,7/10/2010,50,10.5
PPR-20K,7/6/2010,10,2.1
PPR-20K,7/1/2010,10,2.1
PPR-20K,7/6/2010,60,12.6
PPR-20K,7/1/2010,25,5.25
PPR-20K,7/7/2010,6,1.26
PPR-20K,6/28/2010,60,12.6
PPR-20K,7/7/2010,50,10.5
PPR-20K,6/28/2010,21,4.41
PPR-20K,6/28/2010,30,5.4
PPR-20K,6/28/2010,49,10.29
PPR-20K,7/19/2010,0,0
PPR-20K,7/19/2010,400,84
PPR-20K,8/2/2010,6,1.26
PPR-20K,7/19/2010,20,4.2
PPR-20K,7/7/2010,50,10.5
PPR-20K,7/1/2010,20,4.2
PPR-20K,7/1/2010,40,8.4
PPR-20K,7/13/2010,30,6.3
PPR-20K,7/13/2010,23,4.83
PPR-20K,8/2/2010,10,2.1
PPR-20K,7/20/2010,10,2.1
PPR-20K,7/14/2010,30,6.3
PPR-20K,8/1/2010,62,13.02
PPR-20K,8/1/2010,38,7.98
PPR-20K,8/4/2010,40,8.4
PPR-20K,8/2/2010,2,0.42
PPR-20K,7/29/2010,16,3.36
PPR-20K,7/21/2010,600,126
PPR-20K,7/30/2010,200,42
PPR-20K,7/21/2010,25,5.25
PPR-20K,8/6/2010,40,8.4
PPR-20K,8/6/2010,40,8.4
PPR-20K,8/4/2010,2,0.42
PPR-20K,8/2/2010,600,120
PPR-20K,8/9/2010,10,2.1
PPR-20K,8/4/2010,100,21
PPR-20K,7/30/2010,30,6.3
PPR-20K,8/9/2010,600,126
PPR-20K,8/16/2010,8,1.6
PPR-20K,8/9/2010,30,6.3
PPR-20K,8/16/2010,50,10
PPR-20K,8/12/2010,20,4.2
PPR-20K,8/12/2010,16,3.36
PPR-20K,8/12/2010,24,4.8
PPR-20K,9/6/2010,34,6.8
PPR-20K,9/6/2010,66,13.86
PPR-20K,8/30/2010,600,126
PPR-20K,8/30/2010,50,10
PPR-20K,8/26/2010,200,40
PPR-20K,8/20/2010,100,20
PPR-20K,9/7/2010,8,1.68
PPR-20K,9/7/2010,100,21
PPR-20K,1/7/2011,0,0
PPR-20K,9/10/2010,28,5.88
PPR-20K,9/8/2010,2,0.36
PPR-20K,8/24/2010,20,4
PPR-20K,9/8/2010,30,6.3
PPR-20K,8/31/2010,50,10
PPR-20K,9/1/2010,14,2.8
PPR-20K,9/1/2010,27,5.4
PPR-20K,9/2/2010,20,4
PPR-20K,9/15/2010,20,4.2
PPR-20K,9/17/2010,3,0.6
PPR-20K,9/17/2010,348,73.08
PPR-20K,9/17/2010,149,31.29
PPR-20K,9/27/2010,2,0.42
PPR-20K,9/24/2010,20,4.2
PPR-20K,9/21/2010,50,10.5
PPR-20K,9/22/2010,600,126
PPR-20K,10/1/2010,40,8.4
PPR-20K,9/29/2010,20,4.2
PPR-20K,10/20/2010,20,4.2
PPR-20K,10/2/2010,2,0.42
PPR-20K,10/2/2010,20,4.2
PPR-20K,11/3/2010,40,8.4
PPR-20K,9/30/2010,0,0
PPR-20K,10/11/2010,20,4.2
PPR-20K,10/20/2010,50,10.5
PPR-20K,10/15/2010,10,2.1
PPR-20K,10/13/2010,10,2.1
PPR-20K,10/13/2010,37,7.77
PPR-20K,10/13/2010,2,0.36
PPR-20K,10/13/2010,161,33.81
PPR-20K,10/14/2010,4,0.84
PPR-20K,10/9/2010,10,2.1
PPR-20K,10/9/2010,10,2.1
PPR-20K,10/11/2010,400,84
PPR-20K,10/11/2010,200,42
PPR-20K,10/19/2010,200,42
PPR-20K,10/21/2010,20,4.2
PPR-20K,10/25/2010,100,21
PPR-20K,10/27/2010,20,4.2
PPR-20K,10/25/2010,20,4.2
PPR-20K,10/28/2010,50,10.5
PPR-20K,10/28/2010,40,8.4
PPR-20K,10/28/2010,20,4.2
PPR-20K,11/5/2010,50,10.5
PPR-20K,11/8/2010,5,1.05
PPR-20K,11/8/2010,10,2.1
PPR-20K,11/9/2010,10,2.1
PPR-20K,11/8/2010,200,42
PPR-20K,11/16/2010,30,6.3
PPR-20K,11/15/2010,20,4.2
PPR-20K,11/17/2010,10,2.1
PPR-20K,11/17/2010,600,126
PPR-20K,11/18/2010,3,0.63
PPR-20K,11/18/2010,20,4.2
PPR-20K,11/22/2010,0,0
PPR-20K,12/1/2010,15,3.15
PPR-20K,11/22/2010,0,0
PPR-20K,11/22/2010,40,8.4
PPR-20K,12/1/2010,27,5.67
PPR-20K,12/1/2010,3,0.63
PPR-20K,12/3/2010,167,35.07
PPR-20K,12/3/2010,0,0
PPR-20K,12/3/2010,233,48.93
PPR-20K,11/30/2010,8,1.68
PPR-20K,12/3/2010,65,13.65
PPR-20K,12/2/2010,30,6.3
PPR-20K,12/14/2010,50,10.5
PPR-20K,12/15/2010,20,4.2
PPR-20K,12/15/2010,20,4.2
PPR-20K,12/16/2010,600,126
PPR-20K,12/21/2010,200,42
PPR-20K,12/22/2010,30,6.3
PPR-20K,12/29/2010,2,0.4
PPR-20K,12/29/2010,2,0.4
PPR-20K,1/10/2011,6,1.26
PPR-20K,1/11/2011,72,15.12
PPR-20K,1/11/2011,3,0.63
PPR-20K,1/11/2011,125,26.25
PPR-20K,1/12/2011,4,0.84
PPR-20K,1/12/2011,26,5.46
PPR-20K,1/17/2011,20,4.2
PPR-20K,1/17/2011,10,2.1
PPR-20K,1/21/2011,50,10.5
PPR-20K,2/24/2011,272,57.12
PPR-20K,2/24/2011,28,5.88
PPR-20K,1/20/2011,0,0
PPR-20K,1/20/2011,0,0
PPR-20K,1/20/2011,20,4.2
PPR-20K,1/21/2011,8,1.68
PPR-20K,1/21/2011,2,0.42
PPR-20K,1/24/2011,50,10.5
PPR-20K,1/21/2011,800,168
PPR-20K,1/26/2011,40,8.4
PPR-20K,1/26/2011,49,10.29
PPR-20K,1/26/2011,151,31.71
PPR-20K,1/26/2011,49,10.29
PPR-20K,1/26/2011,1,0.21
PPR-20K,1/31/2011,600,126
PPR-20K,2/4/2011,30,6.3
PPR-20K,2/4/2011,20,4.2
PPR-20K,2/7/2011,20,4.2
PPR-20K,2/7/2011,27,5.67
PPR-20K,2/10/2011,200,42
PPR-20K,2/11/2011,502,105.42
PPR-20K,2/11/2011,98,20.58
PPR-20K,2/14/2011,200,42
PPR-20K,2/16/2011,30,6.3
PPR-20K,2/22/2011,1400,294
PPR-20K,3/1/2011,12,2.52
PPR-20K,3/2/2011,50,10.5
PPR-20K,3/2/2011,80,16.8
PPR-20K,3/3/2011,50,10.5
PPR-20K,3/3/2011,30,6.3
PPR-20K,3/3/2011,400,84
PPR-20K,3/7/2011,20,4.2
PPR-20K,3/8/2011,50,10.5
PPR-20K,3/8/2011,50,10.5
PPR-20K,3/8/2011,400,84
PPR-20K,3/10/2011,1,0.21
PPR-20K,3/16/2011,10,2.1
PPR-20K,3/18/2011,25,5.25
PPR-20K,3/21/2011,6,1.26
PPR-20K,3/22/2011,17,3.57
PPR-20K,3/23/2011,40,8.4
PPR-20K,3/24/2011,20,4.2
PPR-20K,3/25/2011,10,2.1
PPR-20K,3/25/2011,30,6.3
PPR-20K,3/28/2011,100,21
PPR-20K,4/1/2011,50,10.5
PPR-20K,4/1/2011,50,10.5
PPR-20K,3/30/2011,40,8.4
PPR-20K,3/30/2011,50,10.5
PPR-20K,3/30/2011,181,38.01
PPR-20K,3/30/2011,219,45.99
PPR-20K,4/1/2011,50,10.5
PPR-20K,4/4/2011,30,6.3
PPR-20K,4/5/2011,20,4.2
PPR-20K,4/5/2011,20,4.2
PPR-20K,4/5/2011,1000,210
PPR-20K,4/8/2011,15,3.15
PPR-20K,4/11/2011,0,0
PPR-20K,4/12/2011,10,2.1
PPR-20K,4/12/2011,12,2.52
PPR-20K,4/14/2011,4,0.84
PPR-20K,4/14/2011,6,1.26
PPR-20K,4/16/2011,5,1.05
PPR-20K,4/18/2011,40,8.4
PPR-20K,4/19/2011,30,6.3
PPR-20K,4/20/2011,600,126
PPR-20K,4/21/2011,800,168
PPR-20K,4/21/2011,20,4.2
PPR-20K,4/22/2011,60,12.6
PPR-20K,5/2/2011,4,0.84
PPR-20K,5/4/2011,15,3.15
PPR-20K,4/29/2011,10,2.1
PPR-20K,4/29/2011,20,4.2
PPR-20K,4/30/2011,100,21
PPR-20K,5/4/2011,6,1.26
PPR-20K,5/5/2011,0,0
PPR-20K,5/5/2011,50,10.5
PPR-20K,5/6/2011,4,0.84
PPR-20K,5/9/2011,0,0
PPR-20K,5/10/2011,100,21
PPR-20K,5/11/2011,2000,380
PPR-20K,5/12/2011,50,10.5
PPR-20K,5/12/2011,10,2.1
PPR-20K,5/12/2011,20,4.2
PPR-20K,5/13/2011,3,0.63
PPR-20K,5/13/2011,50,10.5
PPR-20K,5/18/2011,20,4.2
PPR-20K,5/17/2011,50,10.5
PPR-20K,5/19/2011,8,1.68
PPR-20K,5/19/2011,12,2.52
PPR-20K,5/23/2011,0,0
PPR-20K,5/24/2011,36,7.56
PPR-20K,5/24/2011,4,0.76
PPR-20K,5/24/2011,30,6.3
PPR-20K,5/24/2011,0,0
PPR-20K,5/24/2011,200,38
PPR-20K,5/24/2011,50,9.5
PPR-20K,5/30/2011,20,3.8
PPR-20K,5/30/2011,1,0.21
PPR-20K,5/30/2011,199,37.81
PPR-20K,6/1/2011,0,0
PPR-20K,6/1/2011,6,1.14
PPR-20K,6/2/2011,10,2.1
PPR-20K,6/1/2011,20,4.2
PPR-20K,6/1/2011,20,4.2
PPR-20K,6/8/2011,10,2.1
PPR-20K,6/8/2011,40,7.6
PPR-20K,6/9/2011,12,2.28
PPR-20K,6/9/2011,100,19
PPR-20K,6/9/2011,20,3.8
PPR-20K,6/13/2011,20,3.8
PPR-20K,6/13/2011,50,9.5
PPR-20K,6/13/2011,400,76
PPR-20K,6/14/2011,200,38
PPR-20K,6/13/2011,20,3.8
PPR-20K,6/17/2011,20,3.8
PPR-20K,7/1/2011,100,19
PPR-20K,6/27/2011,30,5.7
PPR-20K,7/1/2011,800,176
PPR-20K,7/8/2011,20,3.8
PPR-20K,7/11/2011,10,1.9
PPR-20K,7/18/2011,30,5.7
PPR-20K,7/19/2011,200,38
PPR-20K,7/21/2011,16,3.04
PPR-20K,7/21/2011,20,3.8
PPR-20K,7/21/2011,200,38
PPR-20K,7/21/2011,13,2.47
PPR-20K,7/21/2011,17,3.74
PPR-20K,7/23/2011,10,2.2
PPR-20K,7/25/2011,100,22
PPR-20K,7/27/2011,30,6.6
PPR-20K,7/29/2011,200,44
PPR-20K,8/1/2011,4,0.88
PPR-20K,8/3/2011,20,4.4
PPR-20K,8/5/2011,13,2.86
PPR-20K,8/9/2011,5,1.1
PPR-20K,8/9/2011,50,11
PPR-20K,8/9/2011,10,2.2
PPR-20K,8/10/2011,28,6.16
PPR-20K,8/12/2011,25,5.5
PPR-20K,8/12/2011,0,0
PPR-20K,8/17/2011,3,0.66
PPR-20K,8/16/2011,800,176
PPR-20K,8/19/2011,50,11
PPR-20K,8/19/2011,0,0
PPR-20K,8/20/2011,20,4.4
PPR-20K,8/22/2011,0,0
PPR-20K,8/24/2011,0,0
PPR-20K,8/24/2011,400,88
PPR-20K,8/24/2011,200,44
PPR-20K,8/26/2011,15,3.3
PPR-20K,8/26/2011,40,8.8
PPR-20K,9/1/2011,4,0.88
PPR-20K,8/30/2011,30,6.6
PPR-20K,8/29/2011,1000,220
PPR-20K,9/1/2011,5,1.1
PPR-20K,9/1/2011,10,2.2
PPR-20K,9/1/2011,3,0.66
PPR-20K,9/1/2011,6,1.32
PPR-20K,9/6/2011,20,4.4
PPR-20K,9/7/2011,6,1.32
PPR-20K,9/7/2011,11,2.42
PPR-20K,9/7/2011,9,1.98
PPR-20K,9/7/2011,25,5.5
PPR-20K,9/8/2011,400,88
PPR-20K,9/8/2011,5,1.1
PPR-20K,9/12/2011,4,0.88
PPR-20K,9/12/2011,0,0
PPR-20K,9/12/2011,0,0
PPR-20K,9/12/2011,2,0.44
PPR-20K,9/12/2011,4,0.88
PPR-20K,9/12/2011,14,3.08
PPR-20K,9/14/2011,102,22.44
PPR-20K,9/14/2011,298,65.56
PPR-20K,9/14/2011,30,6.6
PPR-20K,9/14/2011,50,11
PPR-20K,9/16/2011,50,11
PPR-20K,9/16/2011,20,4.4
PPR-20K,9/19/2011,6,1.32
PPR-20K,9/19/2011,5,1.1
PPR-20K,9/20/2011,600,132
PPR-20K,9/22/2011,20,4.4
PPR-20K,9/22/2011,30,6.6
PPR-20K,9/26/2011,20,4.4
PPR-20K,9/27/2011,1,0.22
PPR-20K,9/28/2011,100,22
PPR-20K,9/29/2011,30,6.6
PPR-20K,10/1/2011,6,1.32
PPR-20K,10/3/2011,12,2.64
PPR-20K,10/3/2011,18,3.96
PPR-20K,10/6/2011,800,176
PPR-20K,10/11/2011,20,4.4
PPR-20K,10/11/2011,2,0.44
PPR-20K,10/11/2011,18,3.96
PPR-20K,10/11/2011,0,0
PPR-20K,10/12/2011,20,4.4
PPR-20K,10/13/2011,15,3.3
PPR-20K,10/17/2011,0,0
PPR-20K,10/14/2011,6,1.32
PPR-20K,10/18/2011,0,0
PPR-20K,10/24/2011,100,22
PPR-20K,10/26/2011,200,44
PPR-20K,11/2/2011,50,11
PPR-20K,11/3/2011,3,0.66
PPR-20K,11/5/2011,15,3.3
PPR-20K,11/10/2011,50,11
PPR-20K,10/31/2011,13,2.86
PPR-20K,11/12/2011,5,1.1
PPR-20K,11/12/2011,54,11.88
PPR-20K,11/12/2011,5,1.1
PPR-20K,11/12/2011,20,4.4
PPR-20K,11/12/2011,207,45.54
PPR-20K,11/12/2011,172,37.84
PPR-20K,11/12/2011,593,130.46
PPR-20K,11/12/2011,6,1.32
PPR-20K,11/12/2011,200,44
PPR-20K,11/12/2011,172,37.84
PPR-20K,11/12/2011,593,130.46
PPR-20K,11/12/2011,6,1.32
PPR-20K,11/12/2011,200,44
PPR-20K,11/14/2011,4,0.88
PPR-20K,11/14/2011,20,4.4
PPR-20K,11/17/2011,12,2.64
PPR-20K,11/15/2011,30,6.6
PPR-20K,11/25/2011,20,4.4
PPR-20K,11/18/2011,6,1.32
PPR-20K,11/25/2011,30,6.6
PPR-20K,11/25/2011,10,2.2
PPR-20K,11/17/2011,10,2.2
PPR-20K,11/28/2011,20,4.4
PPR-20K,11/28/2011,600,132
PPR-20K,11/28/2011,10,2.2
PPR-20K,11/28/2011,30,6.6
PPR-20K,12/1/2011,20,4.4
PPR-20K,11/28/2011,50,11
PPR-20K,11/28/2011,400,88
PPR-20K,12/2/2011,30,6.6
PPR-20K,11/29/2011,4,0.88
PPR-20K,11/30/2011,11,2.42
PPR-20K,12/2/2011,10,2.2
PPR-20K,11/22/2011,10,2.2
PPR-20K,11/22/2011,10,2.2
PPR-20K,12/5/2011,5,1.1
PPR-20K,12/5/2011,25,5.5
PPR-20K,12/5/2011,8,1.76
PPR-20K,12/1/2011,49,10.78
PPR-20K,12/1/2011,6,1.32
PPR-20K,12/1/2011,45,9.9
PPR-20K,12/2/2011,100,22
PPR-20K,11/22/2011,0,0
PPR-20K,12/3/2011,15,3.3
PPR-20K,12/3/2011,5,1.1
PPR-20K,12/3/2011,0,0
PPR-20K,12/3/2011,10,2.2
PPR-20K,11/23/2011,20,4.4
PPR-20K,11/23/2011,0,0
PPR-20K,12/7/2011,20,4.4
PPR-20K,11/23/2011,10,2.2
PPR-20K,12/6/2011,800,176
PPR-20K,12/7/2011,15,3.3
PPR-20K,12/9/2011,5,1.1
PPR-20K,12/1/2011,10,2.2
PPR-20K,11/24/2011,15,3.3
PPR-20K,12/12/2011,3,0.66
PPR-20K,12/14/2011,300,66
PPR-20K,12/16/2011,50,11
PPR-20K,12/15/2011,14,3.08
PPR-20K,12/19/2011,10,2.2
PPR-20K,12/19/2011,400,88
PPR-20K,12/20/2011,22,4.84
PPR-20K,1/5/2012,91,20.02
PPR-20K,1/5/2012,9,1.98
PPR-20K,1/2/2012,10,2.2
PPR-20K,12/22/2011,16,3.52
PPR-20K,12/22/2011,20,4.4
PPR-20K,1/2/2012,10,2.2
PPR-20K,12/22/2011,10,2.2
