SIGMA-LI,DateOf,cecha1,cecha2
PPR-20K,1/11/2012,30,6.6
PPR-20K,1/9/2012,20,4.4
PPR-20K,12/23/2011,10,2.2
PPR-20K,12/23/2011,10,2.2
PPR-20K,12/30/2011,1,0.22
PPR-20K,1/13/2012,200,44
PPR-20K,1/9/2012,50,11
PPR-20K,1/9/2012,300,66
PPR-20K,1/10/2012,100,22
PPR-20K,1/17/2012,4,0.88
PPR-20K,1/13/2012,20,4.4
PPR-20K,1/16/2012,10,2.2
PPR-20K,1/20/2012,30,6.6
PPR-20K,1/23/2012,1000,210
PPR-20K,1/23/2012,27,5.94
PPR-20K,1/23/2012,3,0.66
PPR-20K,1/23/2012,70,15.4
PPR-20K,1/23/2012,1000,210
PPR-20K,1/19/2012,4,0.88
PPR-20K,1/23/2012,1000,210
PPR-20K,2/6/2012,20,4.2
PPR-20K,1/24/2012,20,4.4
PPR-20K,2/7/2012,600,132
PPR-20K,1/25/2012,40,8.8
PPR-20K,2/1/2012,16,3.52
PPR-20K,2/10/2012,4,0.84
PPR-20K,1/27/2012,10,2.2
PPR-20K,2/1/2012,6,1.32
PPR-20K,2/16/2012,20,4.2
PPR-20K,2/20/2012,10,2.1
PPR-20K,2/1/2012,20,4.4
PPR-20K,2/20/2012,12,2.64
PPR-20K,2/20/2012,12,2.64
PPR-20K,2/20/2012,3,0.63
PPR-20K,2/2/2012,218,47.96
PPR-20K,2/2/2012,10,2.2
PPR-20K,2/2/2012,4,0.88
PPR-20K,2/2/2012,68,14.28
PPR-20K,2/2/2012,100,21
PPR-20K,2/3/2012,10,2.1
PPR-20K,3/5/2012,60,12.6
PPR-20K,2/28/2012,50,10.5
PPR-20K,2/28/2012,50,10.5
PPR-20K,3/1/2012,10,2.1
PPR-20K,3/1/2012,20,4.2
PPR-20K,3/9/2012,20,4.2
PPR-20K,3/6/2012,30,6.3
PPR-20K,3/9/2012,20,4.2
PPR-20K,3/9/2012,30,6.3
PPR-20K,3/1/2012,20,4.2
PPR-20K,3/13/2012,40,8.4
PPR-20K,3/7/2012,20,4.2
PPR-20K,3/8/2012,20,4.2
PPR-20K,3/8/2012,200,42
PPR-20K,3/8/2012,24,5.04
PPR-20K,3/19/2012,200,44
PPR-20K,3/16/2012,30,6.3
PPR-20K,3/16/2012,121,25.41
PPR-20K,3/16/2012,179,39.38
PPR-20K,3/16/2012,100,22
PPR-20K,3/21/2012,1200,264
PPR-20K,3/17/2012,16,3.52
PPR-20K,4/5/2012,10,2.2
PPR-20K,4/5/2012,100,22
PPR-20K,4/12/2012,30,6.6
PPR-20K,4/4/2012,10,2.2
PPR-20K,3/23/2012,50,11
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,5/2/2012,200,44
PPR-20K,4/13/2012,20,4.4
PPR-20K,5/16/2012,125,27.5
PPR-20K,5/16/2012,175,38.5
PPR-20K,5/7/2012,175,38.5
PPR-20K,5/7/2012,25,5.5
PPR-20K,3/26/2012,10,2.2
PPR-20K,4/16/2012,10,2.2
PPR-20K,5/4/2012,50,11
PPR-20K,5/4/2012,10,2.2
PPR-20K,3/27/2012,45,9.9
PPR-20K,3/27/2012,5,1.1
PPR-20K,5/2/2012,20,4.4
PPR-20K,5/2/2012,20,4.4
PPR-20K,5/7/2012,100,22
PPR-20K,5/7/2012,10,2.2
PPR-20K,4/18/2012,30,6.6
PPR-20K,5/9/2012,20,4.4
PPR-20K,5/14/2012,40,8.8
PPR-20K,3/29/2012,10,2.2
PPR-20K,5/9/2012,50,11
PPR-20K,5/10/2012,40,8.8
PPR-20K,4/19/2012,50,11
PPR-20K,5/10/2012,50,11
PPR-20K,5/11/2012,15,3.3
PPR-20K,5/11/2012,5,1.1
PPR-20K,5/12/2012,10,2.2
PPR-20K,5/14/2012,20,4.4
PPR-20K,5/17/2012,25,5.5
PPR-20K,5/17/2012,75,16.5
PPR-20K,4/20/2012,50,11
PPR-20K,5/17/2012,10,2.2
PPR-20K,5/18/2012,30,6.6
PPR-20K,4/23/2012,400,88
PPR-20K,5/23/2012,20,4.4
PPR-20K,5/25/2012,40,8.8
PPR-20K,5/28/2012,10,2.2
PPR-20K,4/24/2012,10,2.2
PPR-20K,4/24/2012,10,2.2
PPR-20K,5/24/2012,20,4.4
PPR-20K,6/1/2012,135,29.7
PPR-20K,6/1/2012,65,14.3
PPR-20K,6/1/2012,10,2.2
PPR-20K,5/28/2012,5,1.1
PPR-20K,5/28/2012,45,9.9
PPR-20K,6/1/2012,10,2.2
PPR-20K,5/31/2012,50,11
PPR-20K,5/30/2012,600,138
PPR-20K,6/4/2012,400,92
PPR-20K,6/4/2012,75,16.5
PPR-20K,6/4/2012,25,5.5
PPR-20K,6/5/2012,40,8.8
PPR-20K,4/26/2012,50,11
PPR-20K,6/6/2012,50,11
PPR-20K,6/11/2012,14,3.08
PPR-20K,6/11/2012,71,15.62
PPR-20K,6/11/2012,29,6.38
PPR-20K,5/2/2012,0,0
PPR-20K,5/2/2012,20,4.4
PPR-20K,6/13/2012,10,2.2
PPR-20K,6/13/2012,10,2.2
PPR-20K,6/18/2012,40,8.8
PPR-20K,6/16/2012,100,22
PPR-20K,6/20/2012,11,2.42
PPR-20K,6/20/2012,9,2.07
PPR-20K,6/21/2012,20,4.6
PPR-20K,6/20/2012,200,46
PPR-20K,6/25/2012,371,85.33
PPR-20K,6/25/2012,29,6.67
PPR-20K,6/26/2012,50,11.5
PPR-20K,6/26/2012,10,2.3
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,200,46
PPR-20K,6/26/2012,14,3.22
PPR-20K,7/2/2012,10,2.3
PPR-20K,7/4/2012,20,4.6
PPR-20K,7/2/2012,6,1.38
PPR-20K,7/13/2012,50,11.5
PPR-20K,7/16/2012,200,46
PPR-20K,7/17/2012,11,2.53
PPR-20K,7/17/2012,9,2.07
PPR-20K,7/18/2012,200,46
PPR-20K,7/18/2012,200,46
PPR-20K,7/18/2012,30,6.9
PPR-20K,7/19/2012,200,46
PPR-20K,7/19/2012,20,4.6
PPR-20K,7/20/2012,30,6.9
PPR-20K,8/1/2012,10,2.3
PPR-20K,7/20/2012,20,4.6
PPR-20K,7/27/2012,200,46
PPR-20K,8/1/2012,41,9.43
PPR-20K,8/1/2012,9,2.07
PPR-20K,7/26/2012,20,4.6
PPR-20K,7/30/2012,20,4.6
PPR-20K,7/26/2012,20,4.6
PPR-20K,7/26/2012,61,14.03
PPR-20K,7/26/2012,200,46
PPR-20K,7/26/2012,139,31.97
PPR-20K,8/1/2012,25,5.75
PPR-20K,7/30/2012,1,0.23
PPR-20K,8/3/2012,20,4.6
PPR-20K,8/1/2012,20,4.6
PPR-20K,8/1/2012,20,4.6
PPR-20K,8/3/2012,50,11.5
PPR-20K,8/3/2012,10,2.3
PPR-20K,8/9/2012,25,5.75
PPR-20K,8/9/2012,175,40.25
PPR-20K,8/13/2012,25,5.75
PPR-20K,8/13/2012,5,1.15
PPR-20K,8/14/2012,20,4.6
PPR-20K,8/24/2012,15,3.45
PPR-20K,9/1/2012,20,4.6
PPR-20K,9/1/2012,10,2.3
PPR-20K,8/27/2012,150,34.5
PPR-20K,8/27/2012,150,34.5
PPR-20K,8/28/2012,50,11.5
PPR-20K,8/28/2012,50,11.5
PPR-20K,8/29/2012,20,4.6
PPR-20K,8/31/2012,20,4.6
PPR-20K,9/3/2012,4,0.92
PPR-20K,9/1/2012,30,6.9
PPR-20K,9/4/2012,17,3.91
PPR-20K,9/4/2012,200,46
PPR-20K,9/4/2012,200,46
PPR-20K,9/4/2012,200,46
PPR-20K,9/4/2012,200,46
PPR-20K,9/4/2012,200,46
PPR-20K,9/4/2012,200,46
PPR-20K,9/6/2012,0,0
PPR-20K,9/6/2012,0,0
PPR-20K,9/6/2012,100,23
PPR-20K,9/7/2012,7,1.61
PPR-20K,9/11/2012,49,11.27
PPR-20K,9/11/2012,17,3.91
PPR-20K,9/11/2012,200,46
PPR-20K,9/11/2012,34,7.82
PPR-20K,9/11/2012,100,23
PPR-20K,9/18/2012,4,0.92
PPR-20K,9/17/2012,30,6.9
PPR-20K,9/20/2012,20,4.6
PPR-20K,9/19/2012,32,7.36
PPR-20K,9/19/2012,8,1.84
PPR-20K,9/26/2012,20,4.6
PPR-20K,9/24/2012,172,39.56
PPR-20K,9/24/2012,28,6.44
PPR-20K,9/24/2012,30,6.9
PPR-20K,9/24/2012,20,4.6
PPR-20K,9/24/2012,5,1.15
PPR-20K,9/25/2012,60,13.8
PPR-20K,9/27/2012,2,0.46
PPR-20K,9/27/2012,37,8.51
PPR-20K,9/27/2012,13,2.99
PPR-20K,9/27/2012,8,1.84
PPR-20K,10/1/2012,40,9.2
PPR-20K,10/3/2012,30,6.9
PPR-20K,10/2/2012,200,46
PPR-20K,10/2/2012,200,46
PPR-20K,10/2/2012,200,46
PPR-20K,10/2/2012,200,46
PPR-20K,10/1/2012,10,2.3
PPR-20K,10/3/2012,10,2.3
PPR-20K,10/3/2012,50,11.5
PPR-20K,10/8/2012,15,3.45
PPR-20K,10/5/2012,30,6.9
PPR-20K,10/10/2012,10,2.3
PPR-20K,10/8/2012,2,0.46
PPR-20K,10/8/2012,200,46
PPR-20K,10/8/2012,2,0.46
PPR-20K,10/8/2012,8,1.84
PPR-20K,10/8/2012,200,46
PPR-20K,10/8/2012,188,43.24
PPR-20K,10/10/2012,2,0.46
PPR-20K,10/10/2012,38,8.74
PPR-20K,10/15/2012,9,2.07
PPR-20K,10/10/2012,20,4.6
PPR-20K,10/12/2012,20,4.6
PPR-20K,10/15/2012,10,2.3
PPR-20K,10/16/2012,200,46
PPR-20K,10/16/2012,200,46
PPR-20K,10/16/2012,200,46
PPR-20K,10/16/2012,200,46
PPR-20K,10/16/2012,200,46
PPR-20K,10/16/2012,200,46
PPR-20K,10/17/2012,20,4.6
PPR-20K,10/18/2012,10,2.3
PPR-20K,10/17/2012,20,4.6
PPR-20K,11/10/2012,1,0.22
PPR-20K,10/23/2012,6,1.38
PPR-20K,10/23/2012,14,3.22
PPR-20K,11/5/2012,20,4.6
PPR-20K,10/30/2012,10,2.3
PPR-20K,11/6/2012,22,5.06
PPR-20K,11/6/2012,28,6.44
PPR-20K,10/25/2012,30,6.9
PPR-20K,10/25/2012,10,2.3
PPR-20K,11/8/2012,10,2.3
PPR-20K,10/31/2012,20,4.6
PPR-20K,11/8/2012,162,37.26
PPR-20K,11/8/2012,9,2.07
PPR-20K,11/8/2012,29,6.67
PPR-20K,10/26/2012,20,4.6
PPR-20K,11/11/2012,15,3.45
PPR-20K,11/11/2012,1,0.23
PPR-20K,11/11/2012,200,46
PPR-20K,11/12/2012,10,2.3
PPR-20K,10/20/2014,30,6.9
PPR-20K,10/27/2012,10,2.3
PPR-20K,11/12/2012,90,20.7
PPR-20K,11/12/2012,30,6.9
PPR-20K,11/12/2012,25,5.75
PPR-20K,11/12/2012,35,8.05
PPR-20K,11/17/2012,20,4.6
PPR-20K,11/16/2012,10,2.3
PPR-20K,11/19/2012,6,1.38
PPR-20K,11/19/2012,1,0.23
PPR-20K,11/20/2012,200,46
PPR-20K,11/20/2012,200,46
PPR-20K,11/20/2012,200,46
PPR-20K,11/20/2012,10,2.3
PPR-20K,11/22/2012,20,4.6
PPR-20K,11/22/2012,40,9.2
PPR-20K,11/27/2012,48,11.04
PPR-20K,11/27/2012,2,0.46
PPR-20K,12/1/2012,10,2.3
PPR-20K,11/30/2012,20,4.6
PPR-20K,12/1/2012,10,2.3
PPR-20K,11/29/2012,10,2.3
PPR-20K,12/4/2012,10,2.3
PPR-20K,12/1/2012,20,4.6
PPR-20K,12/4/2012,40,9.2
PPR-20K,12/4/2012,10,2.3
PPR-20K,12/5/2012,20,4.6
PPR-20K,12/10/2012,20,4.6
PPR-20K,12/11/2012,5,1.15
PPR-20K,12/12/2012,33,7.59
PPR-20K,12/12/2012,67,15.41
PPR-20K,12/14/2012,20,4.6
PPR-20K,1/7/2013,20,4.6
PPR-20K,1/8/2013,2,0.46
PPR-20K,1/8/2013,198,45.54
PPR-20K,1/14/2013,20,4.6
PPR-20K,12/19/2012,10,2.3
PPR-20K,1/16/2013,155,35.65
PPR-20K,1/16/2013,200,46
PPR-20K,1/16/2013,45,10.35
PPR-20K,1/10/2013,2,0.46
PPR-20K,1/10/2013,2,0.46
PPR-20K,1/16/2013,4,0.92
PPR-20K,1/16/2013,15,3.45
PPR-20K,1/15/2013,4,0.92
PPR-20K,1/16/2013,155,35.65
PPR-20K,1/16/2013,45,10.35
PPR-20K,12/21/2012,200,46
PPR-20K,12/21/2012,200,46
PPR-20K,12/21/2012,200,46
PPR-20K,1/21/2013,10,2.3
PPR-20K,1/22/2013,200,46
PPR-20K,1/22/2013,200,46
PPR-20K,1/22/2013,200,46
PPR-20K,1/22/2013,200,46
PPR-20K,1/22/2013,200,46
PPR-20K,1/23/2013,135,31.05
PPR-20K,1/23/2013,200,46
PPR-20K,1/23/2013,65,14.95
PPR-20K,1/21/2013,10,2.3
PPR-20K,1/24/2013,30,6.9
PPR-20K,1/7/2013,6,1.38
PPR-20K,1/7/2013,50,11.5
PPR-20K,1/28/2013,10,2.3
PPR-20K,1/28/2013,20,4.6
PPR-20K,2/1/2013,20,4.6
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,2/4/2013,10,2.3
PPR-20K,2/7/2013,20,4.6
PPR-20K,2/7/2013,10,2.3
PPR-20K,2/5/2013,30,6.9
PPR-20K,2/5/2013,9,2.07
PPR-20K,2/6/2013,15,3.45
PPR-20K,2/6/2013,5,1.15
PPR-20K,2/22/2013,30,6.9
PPR-20K,2/22/2013,10,2.3
PPR-20K,2/9/2013,20,4.6
PPR-20K,2/11/2013,10,2.3
PPR-20K,1/2/2013,10,2.3
PPR-20K,1/2/2013,15,3.45
PPR-20K,2/12/2013,20,4.6
PPR-20K,2/12/2013,200,46
PPR-20K,2/12/2013,200,46
PPR-20K,2/12/2013,200,46
PPR-20K,3/1/2013,10,2.3
PPR-20K,2/27/2013,30,6.9
PPR-20K,3/2/2013,4,0.92
PPR-20K,3/1/2013,10,2.3
PPR-20K,3/4/2013,40,9.2
PPR-20K,1/31/2013,10,2.3
PPR-20K,3/4/2013,20,4.6
PPR-20K,3/6/2013,20,4.6
PPR-20K,3/7/2013,20,4.6
PPR-20K,3/12/2013,86,19.78
PPR-20K,3/12/2013,200,46
PPR-20K,3/12/2013,114,26.22
PPR-20K,3/12/2013,4,0.92
PPR-20K,3/14/2013,20,4.6
PPR-20K,3/14/2013,15,3.45
PPR-20K,2/21/2013,35,8.05
PPR-20K,3/18/2013,10,2.3
PPR-20K,3/19/2013,41,9.43
PPR-20K,3/19/2013,109,25.07
PPR-20K,3/19/2013,4,0.92
PPR-20K,3/19/2013,91,20.93
PPR-20K,3/19/2013,9,2.07
PPR-20K,3/19/2013,100,23
PPR-20K,3/19/2013,10,2.3
PPR-20K,3/20/2013,15,3.45
PPR-20K,3/20/2013,30,6.9
PPR-20K,3/2/2015,10,2.3
PPR-20K,3/28/2013,200,46
PPR-20K,3/28/2013,200,46
PPR-20K,3/28/2013,200,46
PPR-20K,3/28/2013,200,46
PPR-20K,4/2/2013,15,3.45
PPR-20K,4/3/2013,20,4.6
PPR-20K,4/3/2013,10,2.3
PPR-20K,4/3/2013,10,2.3
PPR-20K,4/5/2013,20,4.6
PPR-20K,4/5/2013,15,3.45
PPR-20K,4/5/2013,10,2.3
PPR-20K,4/8/2013,135,31.05
PPR-20K,4/8/2013,65,14.95
PPR-20K,4/6/2013,10,2.3
PPR-20K,4/12/2013,1,0.23
PPR-20K,4/9/2013,20,4.6
PPR-20K,4/12/2013,1,0.23
PPR-20K,4/9/2013,30,6.9
PPR-20K,4/12/2013,4,0.92
PPR-20K,4/9/2013,20,4.6
PPR-20K,4/17/2013,200,46
PPR-20K,4/17/2013,200,46
PPR-20K,4/16/2013,50,11.5
PPR-20K,4/16/2013,10,2.3
PPR-20K,4/16/2013,4,0.92
PPR-20K,4/16/2013,4,0.92
PPR-20K,4/16/2013,132,30.36
PPR-20K,4/19/2013,30,6.9
PPR-20K,4/11/2013,10,2.3
PPR-20K,4/4/2013,8,1.84
PPR-20K,4/4/2013,12,2.76
PPR-20K,4/18/2013,30,6.9
PPR-20K,4/23/2013,10,2.3
PPR-20K,4/22/2013,20,4.6
PPR-20K,4/23/2013,158,36.34
PPR-20K,4/23/2013,200,46
PPR-20K,4/23/2013,42,9.66
PPR-20K,4/24/2013,40,9.2
PPR-20K,4/26/2013,20,4.6
PPR-20K,5/2/2013,2,0.46
PPR-20K,4/26/2013,30,6.9
PPR-20K,5/2/2013,20,4.6
PPR-20K,5/2/2013,10,2.3
PPR-20K,5/2/2013,30,6.9
PPR-20K,5/2/2013,200,46
PPR-20K,5/2/2013,200,46
PPR-20K,5/2/2013,200,46
PPR-20K,5/2/2013,200,46
PPR-20K,5/6/2013,6,1.38
PPR-20K,5/6/2013,1,0.23
PPR-20K,5/6/2013,3,0.69
PPR-20K,5/7/2013,10,2.3
PPR-20K,5/6/2013,20,4.6
PPR-20K,5/9/2013,20,4.6
PPR-20K,5/10/2013,19,4.37
PPR-20K,5/10/2013,1,0.23
PPR-20K,5/9/2013,100,23
PPR-20K,5/9/2013,20,4.6
PPR-20K,5/10/2013,10,2.3
PPR-20K,5/10/2013,10,2.3
PPR-20K,5/10/2013,8,1.84
PPR-20K,5/10/2013,2,0.46
PPR-20K,5/13/2013,20,4.6
PPR-20K,5/14/2013,20,4.6
PPR-20K,5/16/2013,5,1.15
PPR-20K,5/15/2013,20,4.6
PPR-20K,5/21/2013,50,11.5
PPR-20K,5/21/2013,124,28.52
PPR-20K,5/21/2013,76,17.48
PPR-20K,5/22/2013,30,6.9
PPR-20K,5/24/2013,30,6.9
PPR-20K,5/28/2013,200,46
PPR-20K,5/28/2013,200,46
PPR-20K,5/28/2013,200,46
PPR-20K,5/27/2013,14,3.22
PPR-20K,5/27/2013,46,10.58
PPR-20K,5/28/2013,60,13.8
PPR-20K,5/28/2013,80,18.4
PPR-20K,6/1/2013,4,0.92
PPR-20K,6/3/2013,20,4.6
PPR-20K,6/3/2013,10,2.3
PPR-20K,6/3/2013,20,4.6
PPR-20K,6/5/2013,50,11.5
PPR-20K,6/6/2013,30,6.9
PPR-20K,6/5/2013,40,9.2
PPR-20K,6/7/2013,66,31.68
PPR-20K,6/7/2013,14,6.72
PPR-20K,6/7/2013,1,2.32
PPR-20K,6/7/2013,37,85.84
PPR-20K,6/7/2013,3,6.96
PPR-20K,6/7/2013,16,5.44
PPR-20K,6/7/2013,2,1
PPR-20K,6/7/2013,40,9.2
PPR-20K,6/7/2013,30,6.9
PPR-20K,6/7/2013,8,1.52
PPR-20K,6/7/2013,66,31.68
PPR-20K,6/7/2013,14,6.72
PPR-20K,6/7/2013,1,2.32
PPR-20K,6/7/2013,37,85.84
PPR-20K,6/7/2013,3,6.96
PPR-20K,6/7/2013,16,5.44
PPR-20K,6/7/2013,2,1
PPR-20K,6/7/2013,1,0.37
PPR-20K,6/7/2013,1,0.51
PPR-20K,6/7/2013,1,0.56
PPR-20K,6/7/2013,2,6.46
PPR-20K,6/7/2013,5,15.4
PPR-20K,6/7/2013,1,3.2
PPR-20K,6/7/2013,8,1.52
PPR-20K,6/7/2013,1,0.37
PPR-20K,6/7/2013,1,0.51
PPR-20K,6/7/2013,1,0.56
PPR-20K,6/7/2013,2,6.46
PPR-20K,6/7/2013,5,15.4
PPR-20K,6/7/2013,1,3.2
PPR-20K,6/7/2013,8,1.52
PPR-20K,6/7/2013,66,31.68
PPR-20K,6/7/2013,14,6.72
PPR-20K,6/7/2013,1,2.32
PPR-20K,6/7/2013,37,85.84
PPR-20K,6/7/2013,3,6.96
PPR-20K,6/7/2013,16,5.44
PPR-20K,6/7/2013,2,1
PPR-20K,6/7/2013,1,0.37
PPR-20K,6/7/2013,1,0.51
PPR-20K,6/7/2013,1,0.56
PPR-20K,6/7/2013,2,6.46
PPR-20K,6/7/2013,5,15.4
PPR-20K,6/7/2013,1,3.2
PPR-20K,6/11/2013,30,6.9
PPR-20K,6/10/2013,2,0.46
PPR-20K,6/10/2013,20,4.6
PPR-20K,6/10/2013,30,6.9
PPR-20K,6/12/2013,20,4.6
PPR-20K,6/11/2013,15,3.45
PPR-20K,6/11/2013,75,17.25
PPR-20K,6/11/2013,10,2.3
PPR-20K,6/11/2013,2,0.46
PPR-20K,6/11/2013,200,46
PPR-20K,6/11/2013,113,25.99
PPR-20K,6/12/2013,40,9.2
PPR-20K,6/20/2013,7,1.61
PPR-20K,6/20/2013,8,1.52
PPR-20K,6/20/2013,66,31.68
PPR-20K,6/20/2013,14,6.72
PPR-20K,6/20/2013,1,2.32
PPR-20K,6/20/2013,37,85.84
PPR-20K,6/20/2013,3,6.96
PPR-20K,6/20/2013,16,5.44
PPR-20K,6/20/2013,2,1
PPR-20K,6/20/2013,1,0.37
PPR-20K,6/20/2013,1,0.51
PPR-20K,6/20/2013,1,0.56
PPR-20K,6/20/2013,2,6.46
PPR-20K,6/20/2013,5,15.4
PPR-20K,6/20/2013,1,3.2
