SIGMA-LI,DateOf,cecha1,cecha2
PPR-20K,6/20/2013,2,0.46
PPR-20K,6/20/2013,33,7.59
PPR-20K,6/21/2013,20,4.6
PPR-20K,6/13/2013,27,6.21
PPR-20K,6/13/2013,13,2.99
PPR-20K,6/15/2013,20,4.6
PPR-20K,6/24/2013,40,9.2
PPR-20K,7/1/2013,10,2.3
PPR-20K,6/28/2013,40,9.2
PPR-20K,6/29/2013,10,2.3
PPR-20K,7/2/2013,100,23
PPR-20K,6/25/2013,20,4.6
PPR-20K,7/1/2013,20,4.6
PPR-20K,6/26/2013,10,2.3
PPR-20K,7/3/2013,10,2.3
PPR-20K,7/2/2013,7,1.61
PPR-20K,7/2/2013,33,7.59
PPR-20K,7/2/2013,20,4.6
PPR-20K,7/4/2013,20,4.6
PPR-20K,7/4/2013,17,3.91
PPR-20K,7/4/2013,183,42.09
PPR-20K,7/4/2013,17,3.91
PPR-20K,7/4/2013,33,7.59
PPR-20K,7/8/2013,8,1.84
PPR-20K,7/9/2013,10,2.3
PPR-20K,7/9/2013,20,4.4
PPR-20K,7/9/2013,1,0.23
PPR-20K,7/9/2013,1,0.23
PPR-20K,7/9/2013,40,9.2
PPR-20K,7/9/2013,50,11
PPR-20K,7/9/2013,5,1.15
PPR-20K,7/9/2013,109,25.07
PPR-20K,7/9/2013,200,46
PPR-20K,7/9/2013,91,20.02
PPR-20K,7/10/2013,200,46
PPR-20K,7/10/2013,200,46
PPR-20K,7/10/2013,200,46
PPR-20K,7/10/2013,200,46
PPR-20K,7/10/2013,200,46
PPR-20K,7/10/2013,24,5.28
PPR-20K,7/10/2013,15,3.3
PPR-20K,7/10/2013,25,5.5
PPR-20K,7/12/2013,52,11.44
PPR-20K,7/12/2013,58,12.76
PPR-20K,7/12/2013,4,0.92
PPR-20K,7/16/2013,30,6.6
PPR-20K,7/19/2013,20,4.6
PPR-20K,7/20/2013,10,2.3
PPR-20K,7/18/2013,35,7.7
PPR-20K,7/18/2013,10,2.3
PPR-20K,7/18/2013,5,1.15
PPR-20K,7/18/2013,40,9.2
PPR-20K,7/23/2013,30,6.9
PPR-20K,6/17/2013,200,44
PPR-20K,6/17/2013,200,44
PPR-20K,6/17/2013,200,46
PPR-20K,6/17/2013,200,46
PPR-20K,6/17/2013,200,46
PPR-20K,6/17/2013,200,46
PPR-20K,6/17/2013,200,46
PPR-20K,7/23/2013,20,4.6
PPR-20K,6/17/2013,40,9.2
PPR-20K,7/23/2013,50,11.5
PPR-20K,7/18/2013,1,0.23
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,46
PPR-20K,6/18/2013,200,44
PPR-20K,6/18/2013,200,44
PPR-20K,6/18/2013,200,44
PPR-20K,6/18/2013,200,44
PPR-20K,6/19/2013,20,4.6
PPR-20K,6/19/2013,100,23
PPR-20K,8/1/2013,20,4.6
PPR-20K,7/25/2013,9,2.07
PPR-20K,7/25/2013,21,4.83
PPR-20K,3/23/2015,30,6.9
PPR-20K,8/8/2013,20,4.6
PPR-20K,7/31/2013,20,4.6
PPR-20K,8/13/2013,15,3.45
PPR-20K,8/13/2013,174,40.02
PPR-20K,8/13/2013,200,46
PPR-20K,8/13/2013,26,5.98
PPR-20K,8/13/2013,10,2.3
PPR-20K,8/13/2013,20,4.6
PPR-20K,7/31/2013,40,9.2
PPR-20K,7/31/2013,200,46
PPR-20K,7/31/2013,200,46
PPR-20K,8/14/2013,20,4.6
PPR-20K,8/14/2013,20,4.6
PPR-20K,8/12/2013,89,20.47
PPR-20K,8/12/2013,11,2.53
PPR-20K,8/14/2013,5,1.15
PPR-20K,8/17/2013,20,4.6
PPR-20K,8/1/2013,6,1.38
PPR-20K,9/2/2013,20,4.6
PPR-20K,8/2/2013,10,2.3
PPR-20K,8/21/2013,11,2.53
PPR-20K,8/21/2013,25,5.75
PPR-20K,8/21/2013,11,2.53
PPR-20K,8/21/2013,25,5.75
PPR-20K,8/26/2013,13,2.99
PPR-20K,8/26/2013,4,0.92
PPR-20K,8/26/2013,33,7.59
PPR-20K,8/22/2013,10,2.3
PPR-20K,8/28/2013,4,0.92
PPR-20K,8/27/2013,200,46
PPR-20K,8/27/2013,200,46
PPR-20K,8/27/2013,200,46
PPR-20K,9/2/2013,40,9.2
PPR-20K,9/2/2013,10,2.3
PPR-20K,8/30/2013,100,23
PPR-20K,8/30/2013,13,2.99
PPR-20K,8/30/2013,2,0.46
PPR-20K,9/2/2013,30,6.9
PPR-20K,9/3/2013,20,4.6
PPR-20K,9/5/2013,100,23
PPR-20K,9/5/2013,24,5.52
PPR-20K,9/5/2013,15,3.45
PPR-20K,9/5/2013,9,2.07
PPR-20K,9/5/2013,6,1.38
PPR-20K,9/5/2013,10,2.3
PPR-20K,9/5/2013,1,0.23
PPR-20K,9/5/2013,25,5.75
PPR-20K,9/5/2013,26,5.98
PPR-20K,9/5/2013,58,13.34
PPR-20K,9/5/2013,10,2.3
PPR-20K,9/6/2013,30,6.9
PPR-20K,9/5/2013,20,4.6
PPR-20K,9/6/2013,20,4.6
PPR-20K,9/12/2013,10,2.3
PPR-20K,9/11/2013,200,46
PPR-20K,9/11/2013,200,46
PPR-20K,9/11/2013,200,46
PPR-20K,9/11/2013,200,46
PPR-20K,9/11/2013,200,46
PPR-20K,9/11/2013,200,46
PPR-20K,9/25/2013,20,4.6
PPR-20K,9/25/2013,40,9.2
PPR-20K,9/27/2013,8,1.84
PPR-20K,10/1/2013,10,2.3
PPR-20K,9/16/2013,26,5.98
PPR-20K,9/16/2013,174,40.02
PPR-20K,9/17/2013,20,4.6
PPR-20K,9/17/2013,8,1.84
PPR-20K,10/2/2013,20,4.6
PPR-20K,10/2/2013,28,6.44
PPR-20K,10/2/2013,172,39.56
PPR-20K,9/18/2013,6,1.38
PPR-20K,9/18/2013,44,10.12
PPR-20K,10/3/2013,8,1.84
PPR-20K,10/3/2013,12,2.76
PPR-20K,9/19/2013,156,35.88
PPR-20K,9/19/2013,44,10.12
PPR-20K,10/5/2013,30,6.9
PPR-20K,10/7/2013,158,36.34
PPR-20K,10/7/2013,42,9.66
PPR-20K,10/8/2013,30,6.9
PPR-20K,10/8/2013,200,46
PPR-20K,10/8/2013,200,46
PPR-20K,10/8/2013,200,46
PPR-20K,10/11/2013,20,4.6
PPR-20K,9/23/2013,50,11.5
PPR-20K,10/11/2013,20,4.6
PPR-20K,10/10/2013,0,0
PPR-20K,10/14/2013,20,4.6
PPR-20K,10/16/2013,18,4.14
PPR-20K,10/16/2013,2,0.46
PPR-20K,10/16/2013,138,31.74
PPR-20K,10/16/2013,62,14.26
PPR-20K,10/16/2013,60,13.8
PPR-20K,10/15/2013,50,11.5
PPR-20K,10/17/2013,8,1.84
PPR-20K,10/15/2013,200,46
PPR-20K,10/15/2013,200,46
PPR-20K,10/21/2013,20,4.6
PPR-20K,10/21/2013,8,1.84
PPR-20K,10/21/2013,2,0.46
PPR-20K,12/17/2013,11,2.53
PPR-20K,10/18/2013,30,6.9
PPR-20K,10/18/2013,30,6.9
PPR-20K,10/22/2013,30,6.9
PPR-20K,10/18/2013,20,4.6
PPR-20K,10/23/2013,60,13.8
PPR-20K,10/23/2013,30,6.9
PPR-20K,10/22/2013,100,23
PPR-20K,10/23/2013,56,12.88
PPR-20K,10/19/2013,30,6.9
PPR-20K,10/23/2013,200,46
PPR-20K,10/23/2013,200,46
PPR-20K,11/4/2013,2,0.46
PPR-20K,10/31/2013,20,4.6
PPR-20K,10/31/2013,8,1.84
PPR-20K,10/31/2013,12,2.76
PPR-20K,10/31/2013,27,6.21
PPR-20K,10/26/2013,8,1.84
PPR-20K,10/26/2013,12,2.76
PPR-20K,11/4/2013,80,18.4
PPR-20K,11/5/2013,86,19.78
PPR-20K,11/5/2013,200,46
PPR-20K,11/5/2013,14,3.22
PPR-20K,11/6/2013,50,11.5
PPR-20K,11/7/2013,20,4.6
PPR-20K,11/13/2013,20,4.6
PPR-20K,11/14/2013,200,46
PPR-20K,11/14/2013,200,46
PPR-20K,11/13/2013,20,4.6
PPR-20K,11/9/2013,16,3.68
PPR-20K,11/12/2013,4,0.92
PPR-20K,11/14/2013,20,4.6
PPR-20K,11/18/2013,20,4.6
PPR-20K,11/20/2013,16,3.68
PPR-20K,11/20/2013,84,19.32
PPR-20K,11/22/2013,20,4.6
PPR-20K,11/26/2013,40,9.2
PPR-20K,11/26/2013,96,22.08
PPR-20K,11/26/2013,104,23.92
PPR-20K,11/29/2013,30,6.9
PPR-20K,12/2/2013,26,5.98
PPR-20K,12/2/2013,4,0.92
PPR-20K,12/2/2013,196,45.08
PPR-20K,12/2/2013,30,6.9
PPR-20K,12/2/2013,56,12.88
PPR-20K,12/2/2013,8,1.84
PPR-20K,12/2/2013,10,2.3
PPR-20K,12/3/2013,2,0.46
PPR-20K,12/4/2013,200,46
PPR-20K,12/4/2013,200,46
PPR-20K,12/5/2013,10,2.3
PPR-20K,12/9/2013,2,0.46
PPR-20K,12/9/2013,15,3.45
PPR-20K,12/9/2013,5,1.15
PPR-20K,12/11/2013,30,6.9
PPR-20K,12/9/2013,10,2.3
PPR-20K,12/17/2013,50,11.5
PPR-20K,12/17/2013,10,2.3
PPR-20K,12/17/2013,28,6.44
PPR-20K,12/18/2013,20,4.6
PPR-20K,12/18/2013,47,10.81
PPR-20K,12/18/2013,3,0.69
PPR-20K,12/20/2013,200,44
PPR-20K,12/20/2013,200,44
PPR-20K,12/20/2013,200,44
PPR-20K,12/20/2013,200,44
PPR-20K,12/30/2013,2,0.46
PPR-20K,12/31/2013,2,0.46
PPR-20K,1/7/2014,15,3.45
PPR-20K,1/7/2014,50,11.5
PPR-20K,1/8/2014,20,4.6
PPR-20K,1/8/2014,50,11.5
PPR-20K,1/10/2014,50,11.5
PPR-20K,1/13/2014,10,2.3
PPR-20K,1/13/2014,10,2.3
PPR-20K,1/16/2014,170,39.1
PPR-20K,1/16/2014,11,2.53
PPR-20K,1/16/2014,200,44
PPR-20K,1/16/2014,19,4.18
PPR-20K,1/13/2014,10,2.3
PPR-20K,1/13/2014,100,23
PPR-20K,1/16/2014,50,11
PPR-20K,1/17/2014,111,24.42
PPR-20K,1/17/2014,89,19.58
PPR-20K,1/14/2014,10,2.3
PPR-20K,1/15/2014,70,16.1
PPR-20K,1/15/2014,10,2.3
PPR-20K,1/15/2014,20,4.6
PPR-20K,1/18/2014,15,3.45
PPR-20K,1/17/2014,20,4.4
PPR-20K,1/21/2014,30,6.6
PPR-20K,1/24/2014,20,4.4
PPR-20K,1/25/2014,30,6.6
PPR-20K,1/28/2014,20,4.4
PPR-20K,1/29/2014,200,46
PPR-20K,1/29/2014,200,46
PPR-20K,1/29/2014,200,46
PPR-20K,1/29/2014,200,46
PPR-20K,1/29/2014,200,46
PPR-20K,2/1/2014,11,2.42
PPR-20K,2/1/2014,10,2.2
PPR-20K,2/3/2014,100,23
PPR-20K,2/3/2014,50,11.5
PPR-20K,1/31/2014,190,41.8
PPR-20K,1/31/2014,2,0.46
PPR-20K,1/31/2014,15,3.45
PPR-20K,1/31/2014,193,44.39
PPR-20K,2/1/2014,7,1.61
PPR-20K,2/1/2014,3,0.69
PPR-20K,2/3/2014,3,0.69
PPR-20K,2/5/2014,20,4.6
PPR-20K,2/6/2014,600,138
PPR-20K,2/15/2014,4,0.92
PPR-20K,2/15/2014,2,0.46
PPR-20K,2/10/2014,24,5.52
PPR-20K,2/10/2014,200,46
PPR-20K,2/10/2014,176,40.48
PPR-20K,2/22/2014,2,0.46
PPR-20K,2/24/2014,40,9.2
PPR-20K,2/24/2014,40,9.2
PPR-20K,2/24/2014,40,9.2
PPR-20K,2/11/2014,20,4.6
PPR-20K,2/27/2014,20,4.6
PPR-20K,3/1/2014,20,4.6
PPR-20K,2/27/2014,200,46
PPR-20K,2/27/2014,200,46
PPR-20K,2/27/2014,200,46
PPR-20K,2/27/2014,200,46
PPR-20K,2/27/2014,200,46
PPR-20K,3/10/2014,20,4.6
PPR-20K,2/28/2014,30,6.9
PPR-20K,2/28/2014,17,3.91
PPR-20K,3/18/2014,20,4.6
PPR-20K,3/19/2014,10,2.3
PPR-20K,3/20/2014,20,4.6
PPR-20K,3/4/2014,10,2.3
PPR-20K,3/4/2014,21,4.83
PPR-20K,3/4/2014,9,2.07
PPR-20K,3/5/2014,20,4.6
PPR-20K,3/25/2014,200,46
PPR-20K,3/5/2014,100,23
PPR-20K,3/27/2014,6,1.38
PPR-20K,3/6/2014,10,2.3
PPR-20K,3/7/2014,4,0.92
PPR-20K,4/1/2014,171,39.33
PPR-20K,4/1/2014,2,0.46
PPR-20K,4/1/2014,27,6.21
PPR-20K,3/29/2014,13,2.99
PPR-20K,3/29/2014,1,0.23
PPR-20K,3/31/2014,10,2.3
PPR-20K,4/1/2014,2,0.46
PPR-20K,4/1/2014,10,2.3
PPR-20K,4/2/2014,30,6.9
PPR-20K,4/1/2014,100,23
PPR-20K,4/1/2014,10,2.3
PPR-20K,4/2/2014,50,11.5
PPR-20K,4/4/2014,14,3.22
PPR-20K,4/3/2014,7,1.61
PPR-20K,4/3/2014,200,46
PPR-20K,4/3/2014,193,44.39
PPR-20K,4/3/2014,7,1.61
PPR-20K,4/3/2014,3,0.69
PPR-20K,4/7/2014,100,23
PPR-20K,4/11/2014,20,4.6
PPR-20K,4/12/2014,20,4.6
PPR-20K,4/11/2014,20,4.6
PPR-20K,4/14/2014,7,1.61
PPR-20K,4/14/2014,7,1.61
PPR-20K,4/14/2014,23,5.29
PPR-20K,4/14/2014,37,8.51
PPR-20K,4/15/2014,50,11.5
PPR-20K,4/23/2014,8,1.84
PPR-20K,4/24/2014,65,14.95
PPR-20K,4/24/2014,95,21.85
PPR-20K,4/24/2014,10,2.3
PPR-20K,4/17/2014,10,2.3
PPR-20K,4/25/2014,20,4.6
PPR-20K,4/25/2014,15,3.45
PPR-20K,4/29/2014,13,2.99
PPR-20K,4/29/2014,7,1.61
PPR-20K,4/29/2014,13,2.99
PPR-20K,4/29/2014,7,1.61
PPR-20K,4/26/2014,12,2.76
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/30/2014,200,46
PPR-20K,4/28/2014,20,4.6
PPR-20K,4/28/2014,20,4.6
PPR-20K,5/6/2014,8,1.84
PPR-20K,5/6/2014,12,2.76
PPR-20K,5/9/2014,6,1.38
PPR-20K,5/12/2014,2,0.46
PPR-20K,5/12/2014,13,2.99
PPR-20K,5/12/2014,5,1.15
PPR-20K,5/16/2014,20,4.6
PPR-20K,5/14/2014,2,0.46
PPR-20K,5/14/2014,18,4.14
PPR-20K,5/17/2014,100,23
PPR-20K,6/16/2014,10,2.3
PPR-20K,5/26/2014,15,3.45
PPR-20K,5/19/2014,20,4.6
PPR-20K,6/17/2014,8,1.84
PPR-20K,5/20/2014,42,9.66
PPR-20K,5/20/2014,200,46
PPR-20K,5/20/2014,200,46
PPR-20K,5/20/2014,58,13.34
PPR-20K,5/20/2014,100,23
PPR-20K,5/21/2014,15,3.45
PPR-20K,7/1/2014,10,2.3
PPR-20K,6/18/2014,50,11.5
PPR-20K,5/21/2014,20,4.6
PPR-20K,5/27/2014,20,4.6
PPR-20K,6/23/2014,4,0.92
PPR-20K,5/22/2014,7,1.61
PPR-20K,5/22/2014,23,5.29
PPR-20K,5/28/2014,2,0.46
PPR-20K,5/28/2014,4,0.92
PPR-20K,5/31/2014,15,3.45
PPR-20K,6/26/2014,200,46
PPR-20K,6/26/2014,200,46
PPR-20K,6/26/2014,200,46
PPR-20K,6/26/2014,200,46
PPR-20K,6/2/2014,100,23
PPR-20K,6/26/2014,32,7.36
PPR-20K,6/26/2014,18,4.14
PPR-20K,6/30/2014,4,0.92
PPR-20K,6/2/2014,20,4.6
PPR-20K,7/2/2014,10,2.3
PPR-20K,7/10/2014,2,0.46
PPR-20K,6/4/2014,8,1.84
PPR-20K,6/5/2014,8,1.84
PPR-20K,6/5/2014,2,0.46
PPR-20K,7/14/2014,20,4.6
PPR-20K,6/6/2014,10,2.3
PPR-20K,7/4/2014,2,0.46
PPR-20K,7/4/2014,2,0.46
PPR-20K,6/9/2014,188,43.24
PPR-20K,6/9/2014,12,2.76
PPR-20K,2/17/2017,20,4.8
PPR-20K,6/10/2014,14,3.22
PPR-20K,7/17/2014,20,4.6
PPR-20K,7/10/2014,10,2.3
PPR-20K,7/18/2014,8,1.84
PPR-20K,7/21/2014,30,6.9
PPR-20K,7/21/2014,200,46
PPR-20K,7/21/2014,200,46
PPR-20K,7/23/2014,12,2.76
PPR-20K,8/1/2014,2,0.46
PPR-20K,6/12/2014,50,11.5
PPR-20K,6/13/2014,10,2.3
PPR-20K,7/8/2014,168,38.64
PPR-20K,7/8/2014,200,46
PPR-20K,7/8/2014,32,7.36
PPR-20K,7/28/2014,10,2.3
PPR-20K,7/9/2014,1,0.23
PPR-20K,7/9/2014,4,0.92
PPR-20K,7/9/2014,50,11.5
PPR-20K,7/31/2014,0,0
PPR-20K,7/31/2014,0,0
PPR-20K,7/31/2014,0,0
PPR-20K,7/31/2014,6,1.38
PPR-20K,7/31/2014,15,3.45
PPR-20K,7/31/2014,79,18.17
PPR-20K,8/5/2014,16,3.68
PPR-20K,8/7/2014,30,6.9
PPR-20K,8/6/2014,30,6.9
PPR-20K,8/8/2014,75,17.25
PPR-20K,8/8/2014,25,5.75
PPR-20K,8/11/2014,20,4.6
PPR-20K,8/18/2014,4,0.92
PPR-20K,8/18/2014,6,1.38
PPR-20K,8/19/2014,50,11.5
PPR-20K,8/19/2014,20,4.6
PPR-20K,8/21/2014,75,17.25
PPR-20K,8/21/2014,125,28.75
PPR-20K,8/25/2014,60,13.8
PPR-20K,8/25/2014,2,0.46
PPR-20K,8/23/2014,10,2.3
PPR-20K,8/26/2014,3,0.69
PPR-20K,8/26/2014,7,1.61
PPR-20K,9/1/2014,20,4.6
PPR-20K,9/1/2014,20,4.6
PPR-20K,9/1/2014,20,4.6
PPR-20K,9/1/2014,50,11.5
PPR-20K,9/1/2014,20,4.6
PPR-20K,9/1/2014,20,4.6
PPR-20K,9/2/2014,20,4.6
PPR-20K,9/4/2014,10,2.3
PPR-20K,9/5/2014,30,6.9
PPR-20K,9/9/2014,10,2.3
PPR-20K,9/8/2014,200,46
PPR-20K,9/8/2014,200,46
PPR-20K,9/8/2014,200,46
PPR-20K,9/9/2014,10,2.3
PPR-20K,9/10/2014,10,2.3
PPR-20K,9/11/2014,30,6.9
PPR-20K,9/11/2014,3,0.69
PPR-20K,9/11/2014,4,0.92
PPR-20K,9/11/2014,1,0.23
PPR-20K,9/11/2014,4,0.92
PPR-20K,9/11/2014,2,0.46
PPR-20K,9/11/2014,13,2.99
PPR-20K,9/11/2014,157,36.11
PPR-20K,9/11/2014,43,9.89
PPR-20K,9/13/2014,40,9.2
PPR-20K,9/17/2014,10,2.3
PPR-20K,9/15/2014,20,4.6
PPR-20K,9/18/2014,87,20.01
PPR-20K,9/18/2014,113,25.99
PPR-20K,9/19/2014,10,2.3
PPR-20K,9/22/2014,200,46
PPR-20K,9/22/2014,200,46
PPR-20K,9/22/2014,200,46
PPR-20K,9/23/2014,30,6.9
PPR-20K,9/20/2014,20,4.6
PPR-20K,9/24/2014,2,0.46
PPR-20K,9/24/2014,30,6.9
PPR-20K,9/25/2014,27,6.21
PPR-20K,9/25/2014,73,16.79
PPR-20K,9/29/2014,10,2.3
PPR-20K,10/23/2014,1,0.23
PPR-20K,10/27/2014,40,9.2
PPR-20K,11/3/2014,10,2.3
PPR-20K,10/28/2014,24,5.52
PPR-20K,10/28/2014,76,17.48
PPR-20K,10/30/2014,200,46
PPR-20K,10/6/2014,10,2.3
PPR-20K,10/6/2014,200,46
PPR-20K,10/6/2014,200,46
PPR-20K,11/3/2014,20,4.6
PPR-20K,10/6/2014,100,23
PPR-20K,10/7/2014,7,1.61
PPR-20K,10/7/2014,1,0.23
PPR-20K,11/8/2014,2,0.46
PPR-20K,10/8/2014,199,45.77
PPR-20K,10/8/2014,1,0.23
PPR-20K,10/9/2014,20,4.6
PPR-20K,11/7/2014,20,4.6
PPR-20K,11/7/2014,10,2.3
PPR-20K,10/10/2014,10,2.3
PPR-20K,10/10/2014,10,2.3
PPR-20K,11/13/2014,9,2.07
PPR-20K,11/14/2014,200,46
PPR-20K,10/10/2014,8,1.84
PPR-20K,10/10/2014,20,4.6
PPR-20K,11/14/2014,10,2.3
PPR-20K,11/17/2014,10,2.3
PPR-20K,10/13/2014,20,4.6
PPR-20K,11/17/2014,15,3.45
PPR-20K,11/19/2014,20,4.6
PPR-20K,10/13/2014,111,25.53
PPR-20K,10/13/2014,89,20.47
PPR-20K,11/19/2014,17,3.91
PPR-20K,11/19/2014,183,42.09
PPR-20K,11/20/2014,17,3.91
PPR-20K,11/20/2014,3,0.69
PPR-20K,11/20/2014,40,9.2
PPR-20K,10/14/2014,6,1.38
PPR-20K,11/22/2014,6,1.38
PPR-20K,11/25/2014,6,1.38
PPR-20K,11/25/2014,18,4.14
